## {'min_sep': 10.0, 'max_sep': 1000.0, 'nbins': 20, 'sep_units': 'arcmin', 'var_method': 'jackknife', 'cross_patch_weight': 'match', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'GG'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1220e+01   1.1338e+01   2.4260e+00   1.1986e-05   1.2051e-06   2.9349e-08   3.9071e-08   5.6380e-07   5.4296e-08   7.0947e+05   7.0947e+05
  1.4125e+01   1.4275e+01   2.6563e+00   9.4922e-06   1.9386e-06   5.8979e-08   1.6849e-08   5.3034e-07   5.9331e-08   1.1098e+06   1.1098e+06
  1.7783e+01   1.7977e+01   2.8869e+00   7.6256e-06   2.5394e-06   3.5390e-08   2.3939e-08   4.8725e-07   9.3503e-08   1.7407e+06   1.7407e+06
  2.2387e+01   2.2627e+01   3.1170e+00   6.1777e-06   2.6684e-06   3.0987e-08   1.3941e-08   4.7533e-07   1.1300e-07   2.7229e+06   2.7229e+06
  2.8184e+01   2.8482e+01   3.3471e+00   5.0302e-06   2.5533e-06   7.2856e-08   4.8500e-08   4.4877e-07   1.0300e-07   4.2251e+06   4.2251e+06
  3.5481e+01   3.5854e+01   3.5773e+00   4.1064e-06   2.3843e-06   2.2293e-08  -9.2028e-09   4.1822e-07   9.6443e-08   6.5557e+06   6.5557e+06
  4.4668e+01   4.5135e+01   3.8075e+00   3.4206e-06   2.0868e-06  -2.7625e-08  -3.7700e-09   3.9732e-07   9.7917e-08   1.0099e+07   1.0099e+07
  5.6234e+01   5.6815e+01   4.0376e+00   2.7742e-06   1.6921e-06  -2.5209e-08   5.1100e-08   3.8146e-07   9.3022e-08   1.5435e+07   1.5435e+07
  7.0795e+01   7.1519e+01   4.2678e+00   2.1101e-06   1.4003e-06  -8.3094e-08   1.5593e-09   3.7454e-07   8.0249e-08   2.3467e+07   2.3467e+07
  8.9125e+01   9.0017e+01   4.4978e+00   1.5374e-06   1.1791e-06  -7.0815e-08  -6.7615e-09   3.6475e-07   9.9392e-08   3.5392e+07   3.5392e+07
  1.1220e+02   1.1329e+02   4.7277e+00   1.2307e-06   1.1342e-06   4.4059e-08   1.0832e-08   3.5747e-07   1.2399e-07   5.2552e+07   5.2552e+07
  1.4125e+02   1.4254e+02   4.9574e+00   1.1077e-06   9.9880e-07   1.4305e-07  -3.2523e-09   3.4225e-07   1.2053e-07   7.6064e+07   7.6064e+07
  1.7783e+02   1.7932e+02   5.1870e+00   8.8913e-07   7.1800e-07   1.2721e-07   2.7878e-09   3.5405e-07   9.5868e-08   1.0650e+08   1.0650e+08
  2.2387e+02   2.2543e+02   5.4158e+00   8.1147e-07   6.2020e-07  -2.5610e-08  -3.0839e-09   3.6703e-07   1.0140e-07   1.4085e+08   1.4085e+08
  2.8184e+02   2.8348e+02   5.6449e+00   7.9890e-07   5.1894e-07   4.3782e-08   1.8768e-08   3.6409e-07   1.3953e-07   1.7286e+08   1.7286e+08
  3.5481e+02   3.5649e+02   5.8741e+00   5.8050e-07   3.4951e-07  -5.1503e-08  -4.5010e-08   2.5875e-07   1.4323e-07   1.9795e+08   1.9795e+08
  4.4668e+02   4.4927e+02   6.1054e+00   5.3467e-07   3.6227e-07   4.3261e-08  -1.9445e-08   2.2322e-07   1.8725e-07   2.2549e+08   2.2549e+08
  5.6234e+02   5.6599e+02   6.3364e+00   4.1368e-07   2.0831e-07   1.2515e-07  -1.3809e-07   2.2594e-07   2.3275e-07   2.6467e+08   2.6467e+08
  7.0795e+02   7.1262e+02   6.5667e+00   4.9320e-08   4.1078e-07   2.6563e-07  -2.7223e-07   2.0874e-07   1.9580e-07   3.0765e+08   3.0765e+08
  8.9125e+02   8.9862e+02   6.7986e+00   1.1880e-07   5.9767e-07   2.3124e-07  -8.6450e-08   2.2647e-07   2.0690e-07   3.5640e+08   3.5640e+08
