## {'min_sep': 10.0, 'max_sep': 1000.0, 'nbins': 20, 'sep_units': 'arcmin', 'var_method': 'jackknife', 'cross_patch_weight': 'match', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'GG'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1220e+01   1.1340e+01   2.4262e+00   1.3313e-05   1.3428e-06   2.0724e-07   1.8756e-08   8.0552e-07   7.5682e-08   7.0843e+05   7.0843e+05
  1.4125e+01   1.4276e+01   2.6564e+00   1.0637e-05   2.2635e-06   2.3724e-07   1.2754e-08   7.4612e-07   1.3726e-07   1.1072e+06   1.1072e+06
  1.7783e+01   1.7974e+01   2.8868e+00   8.6897e-06   2.8586e-06   2.0910e-07   4.2861e-08   7.0079e-07   1.7732e-07   1.7385e+06   1.7385e+06
  2.2387e+01   2.2629e+01   3.1170e+00   7.1288e-06   3.0448e-06   1.6806e-07   1.2647e-08   6.8951e-07   2.2907e-07   2.7115e+06   2.7115e+06
  2.8184e+01   2.8483e+01   3.3471e+00   5.9054e-06   2.8600e-06   1.7495e-07   2.6535e-08   6.7910e-07   2.3210e-07   4.2090e+06   4.2090e+06
  3.5481e+01   3.5854e+01   3.5773e+00   5.1083e-06   2.6347e-06   1.7102e-07   1.4129e-08   6.8367e-07   2.2305e-07   6.5326e+06   6.5326e+06
  4.4668e+01   4.5137e+01   3.8075e+00   4.4201e-06   2.1970e-06   2.0597e-07  -1.9585e-09   6.6528e-07   1.6518e-07   1.0053e+07   1.0053e+07
  5.6234e+01   5.6814e+01   4.0376e+00   3.5663e-06   1.7103e-06   1.3465e-07  -2.7626e-08   6.2433e-07   1.2386e-07   1.5355e+07   1.5355e+07
  7.0795e+01   7.1517e+01   4.2678e+00   2.7049e-06   1.3937e-06  -5.5789e-09   4.5677e-09   5.5699e-07   9.1947e-08   2.3350e+07   2.3350e+07
  8.9125e+01   9.0017e+01   4.4978e+00   1.9961e-06   1.2885e-06  -1.5841e-07   3.1916e-09   4.8505e-07   8.1333e-08   3.5229e+07   3.5229e+07
  1.1220e+02   1.1329e+02   4.7278e+00   1.3975e-06   1.1803e-06  -3.2704e-07   2.9756e-09   4.1823e-07   9.0871e-08   5.2264e+07   5.2264e+07
  1.4125e+02   1.4254e+02   4.9574e+00   7.3864e-07   9.9262e-07  -3.7279e-07  -2.0810e-08   3.1588e-07   1.1416e-07   7.5788e+07   7.5788e+07
  1.7783e+02   1.7933e+02   5.1870e+00   4.1005e-07   1.1168e-06  -4.7918e-07  -8.5249e-08   2.9567e-07   1.4659e-07   1.0637e+08   1.0637e+08
  2.2387e+02   2.2545e+02   5.4159e+00   2.7820e-07   9.9389e-07  -3.1421e-07  -8.4157e-08   2.6420e-07   1.8103e-07   1.4101e+08   1.4101e+08
  2.8184e+02   2.8346e+02   5.6449e+00  -2.5098e-07   6.2641e-07  -1.4313e-07  -8.3283e-08   1.8345e-07   1.9001e-07   1.7342e+08   1.7342e+08
  3.5481e+02   3.5647e+02   5.8740e+00  -5.7195e-07   4.8788e-07  -2.3851e-07  -4.8274e-09   2.7989e-07   2.1108e-07   1.9832e+08   1.9832e+08
  4.4668e+02   4.4928e+02   6.1054e+00  -2.5418e-07   3.0627e-07  -9.3170e-08  -2.0043e-07   2.4339e-07   2.5893e-07   2.2626e+08   2.2626e+08
  5.6234e+02   5.6600e+02   6.3364e+00  -1.4741e-07  -1.8151e-07   1.6229e-07  -3.1771e-07   2.4686e-07   2.2480e-07   2.6575e+08   2.6575e+08
  7.0795e+02   7.1265e+02   6.5668e+00  -4.4374e-08  -1.8202e-08   1.8694e-07  -1.6541e-07   2.0328e-07   1.8384e-07   3.0846e+08   3.0846e+08
  8.9125e+02   8.9862e+02   6.7986e+00  -7.6051e-08  -1.6205e-07   4.2530e-07  -4.7169e-08   1.7471e-07   2.1680e-07   3.5754e+08   3.5754e+08
