## {'min_sep': 10.0, 'max_sep': 1000.0, 'nbins': 20, 'sep_units': 'arcmin', 'var_method': 'jackknife', 'cross_patch_weight': 'match', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'GG'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1220e+01   1.1341e+01   2.4262e+00   1.3285e-05   1.4307e-06  -2.3147e-08   1.6080e-07   9.8692e-07   9.9999e-08   9.5390e+04   9.5390e+04
  1.4125e+01   1.4277e+01   2.6565e+00   1.0672e-05   2.3065e-06  -1.9894e-07   1.0938e-08   8.1530e-07   1.6048e-07   1.4874e+05   1.4874e+05
  1.7783e+01   1.7979e+01   2.8871e+00   8.3016e-06   2.9018e-06  -2.6425e-07   3.5225e-08   6.6955e-07   1.7691e-07   2.3241e+05   2.3241e+05
  2.2387e+01   2.2625e+01   3.1169e+00   6.5411e-06   2.9730e-06  -2.8723e-07   6.6781e-08   5.4962e-07   2.1042e-07   3.6298e+05   3.6298e+05
  2.8184e+01   2.8485e+01   3.3472e+00   5.0705e-06   2.9347e-06  -1.9915e-07   6.8923e-08   5.1069e-07   2.2434e-07   5.6738e+05   5.6738e+05
  3.5481e+01   3.5851e+01   3.5772e+00   4.0302e-06   2.7057e-06  -6.4483e-08   3.8024e-09   5.2244e-07   2.1363e-07   8.7784e+05   8.7784e+05
  4.4668e+01   4.5137e+01   3.8075e+00   3.2021e-06   2.4158e-06   1.8440e-07   5.7328e-09   5.1842e-07   1.9514e-07   1.3515e+06   1.3515e+06
  5.6234e+01   5.6819e+01   4.0377e+00   2.5560e-06   2.0957e-06   1.6747e-07   1.3173e-08   4.8319e-07   1.6639e-07   2.0669e+06   2.0669e+06
  7.0795e+01   7.1520e+01   4.2678e+00   1.9369e-06   1.6872e-06  -1.0612e-07  -8.9703e-08   4.4046e-07   1.3193e-07   3.1423e+06   3.1423e+06
  8.9125e+01   9.0012e+01   4.4978e+00   1.2452e-06   1.3715e-06  -2.2418e-07  -1.4471e-07   3.5438e-07   1.0699e-07   4.7409e+06   4.7409e+06
  1.1220e+02   1.1329e+02   4.7277e+00   8.2867e-07   1.2081e-06  -2.5872e-07  -5.0582e-09   2.9179e-07   1.0170e-07   7.0407e+06   7.0407e+06
  1.4125e+02   1.4253e+02   4.9574e+00   5.7645e-07   1.0173e-06  -3.2020e-07   7.7057e-08   2.2109e-07   1.4988e-07   1.0198e+07   1.0198e+07
  1.7783e+02   1.7929e+02   5.1868e+00   4.2119e-07   7.9977e-07  -2.6441e-07   9.0409e-08   2.4374e-07   1.7052e-07   1.4249e+07   1.4249e+07
  2.2387e+02   2.2544e+02   5.4159e+00   4.0346e-07   7.1141e-07   6.6819e-08   2.1071e-08   3.0485e-07   1.4810e-07   1.8882e+07   1.8882e+07
  2.8184e+02   2.8344e+02   5.6448e+00   3.7052e-07   5.0802e-07   1.6245e-07  -5.8807e-08   2.7981e-07   1.4491e-07   2.3163e+07   2.3163e+07
  3.5481e+02   3.5646e+02   5.8740e+00   2.1507e-07   2.1092e-07   1.1832e-07  -2.5976e-07   1.8207e-07   1.2202e-07   2.6471e+07   2.6471e+07
  4.4668e+02   4.4930e+02   6.1055e+00   1.7595e-07   9.9885e-08  -1.4851e-07  -1.7384e-08   1.3861e-07   1.2239e-07   3.0204e+07   3.0204e+07
  5.6234e+02   5.6600e+02   6.3364e+00  -2.3056e-07   9.7248e-08  -3.3707e-07   1.2093e-07   1.8322e-07   1.1337e-07   3.5390e+07   3.5390e+07
  7.0795e+02   7.1263e+02   6.5668e+00  -1.7890e-07   2.0436e-07  -1.6492e-07   2.9777e-07   1.5487e-07   1.5710e-07   4.1052e+07   4.1052e+07
  8.9125e+02   8.9853e+02   6.7985e+00  -1.2709e-07  -1.7095e-07  -1.2036e-07   1.8650e-07   1.8598e-07   1.8070e-07   4.7558e+07   4.7558e+07
