## {'min_sep': 10.0, 'max_sep': 1000.0, 'nbins': 20, 'sep_units': 'arcmin', 'var_method': 'jackknife', 'cross_patch_weight': 'match', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'GG'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1220e+01   1.1340e+01   2.4262e+00   1.3293e-05   1.3311e-06  -6.1625e-08  -2.3944e-08   1.0999e-06   9.1322e-08   7.1150e+05   7.1150e+05
  1.4125e+01   1.4277e+01   2.6565e+00   1.0554e-05   2.1115e-06   1.1863e-08  -2.6580e-09   9.3658e-07   1.3938e-07   1.1100e+06   1.1100e+06
  1.7783e+01   1.7976e+01   2.8869e+00   8.4538e-06   2.6928e-06   9.3151e-08   2.6612e-08   7.8763e-07   1.5977e-07   1.7382e+06   1.7382e+06
  2.2387e+01   2.2629e+01   3.1170e+00   6.7598e-06   2.7966e-06   1.7882e-07  -2.9895e-08   6.5823e-07   1.8648e-07   2.7157e+06   2.7157e+06
  2.8184e+01   2.8481e+01   3.3471e+00   5.2201e-06   2.7321e-06   9.7726e-08  -4.1566e-08   5.4189e-07   1.8973e-07   4.2255e+06   4.2255e+06
  3.5481e+01   3.5853e+01   3.5772e+00   4.0222e-06   2.5949e-06  -1.3005e-08  -3.0625e-08   4.6350e-07   2.0782e-07   6.5492e+06   6.5492e+06
  4.4668e+01   4.5134e+01   3.8075e+00   3.0255e-06   2.3738e-06  -1.0430e-07   2.3461e-08   4.3954e-07   2.1781e-07   1.0072e+07   1.0072e+07
  5.6234e+01   5.6815e+01   4.0376e+00   2.3165e-06   2.1440e-06  -1.4206e-07   3.3982e-08   3.9826e-07   2.2665e-07   1.5403e+07   1.5403e+07
  7.0795e+01   7.1517e+01   4.2678e+00   2.0118e-06   1.8975e-06  -1.1662e-07   2.6062e-08   3.7522e-07   2.1175e-07   2.3432e+07   2.3432e+07
  8.9125e+01   9.0012e+01   4.4978e+00   1.7222e-06   1.3994e-06  -3.4867e-08  -3.1393e-08   3.3353e-07   1.8669e-07   3.5281e+07   3.5281e+07
  1.1220e+02   1.1328e+02   4.7277e+00   1.2309e-06   9.7283e-07   3.2633e-08  -2.2076e-08   3.0357e-07   1.3459e-07   5.2353e+07   5.2353e+07
  1.4125e+02   1.4255e+02   4.9575e+00   9.0514e-07   8.2958e-07  -1.3715e-08  -4.3624e-09   2.5637e-07   1.1068e-07   7.5823e+07   7.5823e+07
  1.7783e+02   1.7933e+02   5.1870e+00   4.7766e-07   5.6776e-07   8.4204e-08   2.2582e-08   2.1464e-07   1.2302e-07   1.0628e+08   1.0628e+08
  2.2387e+02   2.2545e+02   5.4159e+00  -2.8599e-07   3.7314e-07   2.6061e-07   5.7715e-08   2.2229e-07   1.4546e-07   1.4080e+08   1.4080e+08
  2.8184e+02   2.8345e+02   5.6448e+00  -4.1881e-07   5.0852e-07   2.5467e-07  -4.2011e-08   1.9729e-07   1.6228e-07   1.7273e+08   1.7273e+08
  3.5481e+02   3.5648e+02   5.8741e+00  -3.8126e-07   3.9290e-07   6.6741e-08  -6.4900e-08   1.8757e-07   1.5626e-07   1.9784e+08   1.9784e+08
  4.4668e+02   4.4929e+02   6.1055e+00   2.6757e-09   3.3961e-07  -8.9801e-08  -1.5473e-09   2.0953e-07   1.6032e-07   2.2542e+08   2.2542e+08
  5.6234e+02   5.6599e+02   6.3364e+00   8.6852e-08   1.7240e-07  -2.1769e-07  -4.0164e-07   1.8533e-07   2.0329e-07   2.6456e+08   2.6456e+08
  7.0795e+02   7.1256e+02   6.5667e+00   1.2536e-07   1.9425e-07  -1.2937e-07  -1.8621e-07   1.7036e-07   1.9312e-07   3.0709e+08   3.0709e+08
  8.9125e+02   8.9860e+02   6.7986e+00  -4.1090e-07  -4.0315e-07   1.4281e-07   5.6248e-07   2.2932e-07   2.4866e-07   3.5590e+08   3.5590e+08
