## {'min_sep': 10.0, 'max_sep': 1000.0, 'nbins': 20, 'sep_units': 'arcmin', 'var_method': 'jackknife', 'cross_patch_weight': 'match', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'GG'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1220e+01   1.1337e+01   2.4259e+00   1.2433e-05   1.2250e-06   5.9023e-08  -2.0068e-07   6.9763e-07   1.0463e-07   9.8137e+04   9.8137e+04
  1.4125e+01   1.4278e+01   2.6566e+00   9.7982e-06   2.1805e-06   4.5346e-08  -2.3697e-08   5.8996e-07   1.0334e-07   1.5256e+05   1.5256e+05
  1.7783e+01   1.7978e+01   2.8870e+00   7.9784e-06   2.5326e-06  -3.4162e-08   2.8367e-08   5.0243e-07   1.2507e-07   2.3958e+05   2.3958e+05
  2.2387e+01   2.2631e+01   3.1171e+00   6.4239e-06   2.7706e-06   2.7158e-08  -1.5649e-08   4.4508e-07   1.6106e-07   3.7409e+05   3.7409e+05
  2.8184e+01   2.8478e+01   3.3469e+00   5.1160e-06   2.7369e-06  -4.8583e-08  -2.0215e-09   4.0544e-07   1.5590e-07   5.8062e+05   5.8062e+05
  3.5481e+01   3.5857e+01   3.5774e+00   4.2939e-06   2.5180e-06   6.2245e-09   8.5079e-08   3.6536e-07   1.4841e-07   9.0201e+05   9.0201e+05
  4.4668e+01   4.5131e+01   3.8074e+00   3.5333e-06   2.1242e-06  -4.6325e-08   2.0028e-08   3.4538e-07   1.4547e-07   1.3830e+06   1.3830e+06
  5.6234e+01   5.6808e+01   4.0375e+00   2.8930e-06   1.7658e-06  -1.2142e-08  -3.9793e-08   3.3027e-07   1.3164e-07   2.1136e+06   2.1136e+06
  7.0795e+01   7.1514e+01   4.2677e+00   2.2551e-06   1.4256e-06   6.9267e-08  -1.1072e-08   3.5222e-07   1.1416e-07   3.2087e+06   3.2087e+06
  8.9125e+01   9.0017e+01   4.4978e+00   1.8014e-06   1.2282e-06   1.2866e-07  -6.3736e-08   3.4663e-07   1.1679e-07   4.8319e+06   4.8319e+06
  1.1220e+02   1.1329e+02   4.7278e+00   1.2944e-06   9.9639e-07   2.7606e-09  -7.3195e-09   3.2829e-07   1.2674e-07   7.1847e+06   7.1847e+06
  1.4125e+02   1.4256e+02   4.9576e+00   9.2217e-07   9.1991e-07  -2.2167e-07   2.3338e-08   3.0347e-07   1.3601e-07   1.0432e+07   1.0432e+07
  1.7783e+02   1.7932e+02   5.1870e+00   6.0026e-07   7.8349e-07  -1.9741e-08   6.1123e-08   2.2849e-07   1.2605e-07   1.4616e+07   1.4616e+07
  2.2387e+02   2.2545e+02   5.4159e+00   3.2003e-07   6.8160e-07   2.1710e-08  -2.0827e-08   1.9198e-07   1.2642e-07   1.9354e+07   1.9354e+07
  2.8184e+02   2.8347e+02   5.6449e+00   2.9766e-07   7.0833e-07  -9.2590e-08  -1.9136e-08   1.3726e-07   1.7397e-07   2.3769e+07   2.3769e+07
  3.5481e+02   3.5649e+02   5.8741e+00   2.5982e-07   5.6105e-07  -1.6133e-07   2.8213e-08   1.9485e-07   2.1599e-07   2.7204e+07   2.7204e+07
  4.4668e+02   4.4932e+02   6.1055e+00   3.9897e-08   4.7213e-07  -2.9811e-07   9.6658e-08   2.0938e-07   1.9505e-07   3.1015e+07   3.1015e+07
  5.6234e+02   5.6602e+02   6.3364e+00   1.5128e-08   5.9008e-07   5.0305e-08   1.7719e-07   2.0740e-07   1.8176e-07   3.6518e+07   3.6518e+07
  7.0795e+02   7.1263e+02   6.5668e+00   3.7966e-08   3.5882e-07   1.2848e-07   2.7766e-07   2.0874e-07   1.6315e-07   4.2482e+07   4.2482e+07
  8.9125e+02   8.9865e+02   6.7987e+00  -2.9800e-07   3.6203e-07   1.8138e-07  -9.5542e-08   1.2528e-07   1.4073e-07   4.9241e+07   4.9241e+07
