## {'min_sep': 10.0, 'max_sep': 1000.0, 'nbins': 20, 'sep_units': 'arcmin', 'var_method': 'jackknife', 'cross_patch_weight': 'match', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'GG'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1220e+01   1.1339e+01   2.4261e+00   1.3180e-05   1.2508e-06   2.0001e-08  -1.9997e-08   8.4294e-07   8.9983e-08   7.2285e+05   7.2285e+05
  1.4125e+01   1.4277e+01   2.6565e+00   1.0513e-05   2.0391e-06  -1.7491e-08  -9.3907e-08   6.9310e-07   1.3703e-07   1.1242e+06   1.1242e+06
  1.7783e+01   1.7977e+01   2.8869e+00   8.6264e-06   2.6461e-06  -1.4508e-08  -8.3852e-08   6.0225e-07   1.6861e-07   1.7639e+06   1.7639e+06
  2.2387e+01   2.2628e+01   3.1170e+00   7.1083e-06   2.7851e-06   9.1737e-09  -7.6946e-08   5.4435e-07   1.8799e-07   2.7541e+06   2.7541e+06
  2.8184e+01   2.8485e+01   3.3472e+00   5.9941e-06   2.6561e-06   6.3901e-08  -7.1305e-08   4.9783e-07   1.7368e-07   4.2760e+06   4.2760e+06
  3.5481e+01   3.5855e+01   3.5773e+00   5.0642e-06   2.3678e-06   1.3342e-07   4.2634e-09   4.4730e-07   1.5206e-07   6.6390e+06   6.6390e+06
  4.4668e+01   4.5136e+01   3.8075e+00   4.1406e-06   1.9752e-06   1.1200e-07   5.1622e-09   4.2119e-07   1.4557e-07   1.0211e+07   1.0211e+07
  5.6234e+01   5.6811e+01   4.0375e+00   3.2078e-06   1.6667e-06   5.8267e-08  -2.0146e-08   4.0808e-07   1.3474e-07   1.5609e+07   1.5609e+07
  7.0795e+01   7.1518e+01   4.2678e+00   2.3415e-06   1.4589e-06   6.3120e-08  -2.1864e-08   4.0265e-07   1.5539e-07   2.3741e+07   2.3741e+07
  8.9125e+01   9.0019e+01   4.4978e+00   1.5283e-06   1.3173e-06  -1.1533e-08  -2.7419e-08   3.7104e-07   1.7622e-07   3.5799e+07   3.5799e+07
  1.1220e+02   1.1329e+02   4.7278e+00   9.0470e-07   1.2917e-06   9.7761e-09   1.7398e-09   3.5277e-07   1.7603e-07   5.3180e+07   5.3180e+07
  1.4125e+02   1.4254e+02   4.9575e+00   6.5378e-07   1.2580e-06  -8.6925e-08  -7.7846e-08   2.8920e-07   1.7349e-07   7.7107e+07   7.7107e+07
  1.7783e+02   1.7931e+02   5.1870e+00   5.5560e-07   1.0735e-06  -1.8705e-07  -5.3481e-08   2.2413e-07   1.7531e-07   1.0812e+08   1.0812e+08
  2.2387e+02   2.2545e+02   5.4159e+00   2.0727e-07   6.9944e-07  -2.4384e-07  -9.2713e-09   2.4142e-07   1.4564e-07   1.4344e+08   1.4344e+08
  2.8184e+02   2.8346e+02   5.6449e+00   1.6053e-07   5.9637e-07  -2.6401e-07   3.0321e-08   2.3128e-07   1.6574e-07   1.7645e+08   1.7645e+08
  3.5481e+02   3.5648e+02   5.8741e+00  -3.5730e-07   1.6704e-07  -5.1182e-08  -8.6829e-09   2.1408e-07   2.0304e-07   2.0209e+08   2.0209e+08
  4.4668e+02   4.4926e+02   6.1054e+00  -5.0541e-07   1.8284e-07   9.4227e-08  -4.1433e-07   2.5703e-07   2.4274e-07   2.2992e+08   2.2992e+08
  5.6234e+02   5.6600e+02   6.3364e+00  -2.2501e-07   5.5300e-07  -1.3311e-07  -2.1410e-07   1.9873e-07   2.1634e-07   2.6952e+08   2.6952e+08
  7.0795e+02   7.1263e+02   6.5668e+00   2.6761e-07   4.9347e-07  -1.1632e-08   1.0914e-07   1.6199e-07   1.4479e-07   3.1317e+08   3.1317e+08
  8.9125e+02   8.9856e+02   6.7986e+00   5.4709e-08  -3.7202e-07   1.5783e-07   1.2390e-07   1.5604e-07   2.5156e-07   3.6286e+08   3.6286e+08
