## {'min_sep': 10.0, 'max_sep': 1000.0, 'nbins': 20, 'sep_units': 'arcmin', 'var_method': 'jackknife', 'cross_patch_weight': 'match', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'GG'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1220e+01   1.1340e+01   2.4262e+00   1.2197e-05   1.2073e-06  -3.4815e-08  -4.0828e-08   7.7347e-07   6.2971e-08   7.1178e+05   7.1178e+05
  1.4125e+01   1.4276e+01   2.6564e+00   9.6745e-06   2.0776e-06   1.8167e-08  -6.1072e-08   6.9281e-07   9.3109e-08   1.1063e+06   1.1063e+06
  1.7783e+01   1.7976e+01   2.8869e+00   7.8341e-06   2.5743e-06   2.4337e-08   4.3917e-09   5.9748e-07   1.1205e-07   1.7360e+06   1.7360e+06
  2.2387e+01   2.2628e+01   3.1170e+00   6.3834e-06   2.7362e-06   1.7266e-08   1.7069e-08   5.4591e-07   1.3788e-07   2.7100e+06   2.7100e+06
  2.8184e+01   2.8480e+01   3.3470e+00   5.2819e-06   2.6462e-06   2.0480e-08   1.6822e-08   4.8776e-07   1.4143e-07   4.2202e+06   4.2202e+06
  3.5481e+01   3.5853e+01   3.5773e+00   4.3802e-06   2.3298e-06  -3.8181e-08   4.4558e-09   4.2493e-07   1.3583e-07   6.5351e+06   6.5351e+06
  4.4668e+01   4.5131e+01   3.8074e+00   3.4256e-06   1.9664e-06  -3.7794e-08  -2.2371e-08   3.6539e-07   1.4174e-07   1.0062e+07   1.0062e+07
  5.6234e+01   5.6811e+01   4.0375e+00   2.6280e-06   1.7159e-06  -7.5103e-08   3.8984e-09   3.1954e-07   1.3230e-07   1.5377e+07   1.5377e+07
  7.0795e+01   7.1521e+01   4.2678e+00   2.1226e-06   1.5548e-06  -8.2095e-08  -2.1122e-08   2.9755e-07   1.3225e-07   2.3405e+07   2.3405e+07
  8.9125e+01   9.0021e+01   4.4979e+00   1.6253e-06   1.2974e-06  -8.3274e-08   3.1985e-08   2.7004e-07   1.2778e-07   3.5259e+07   3.5259e+07
  1.1220e+02   1.1329e+02   4.7277e+00   1.3757e-06   1.1353e-06  -4.3338e-08   4.7737e-08   2.3742e-07   1.0862e-07   5.2295e+07   5.2295e+07
  1.4125e+02   1.4254e+02   4.9574e+00   1.1557e-06   8.9773e-07  -1.8740e-07   3.8475e-08   2.4981e-07   1.0243e-07   7.5757e+07   7.5757e+07
  1.7783e+02   1.7934e+02   5.1871e+00   9.7179e-07   7.0938e-07  -1.2007e-07   6.9990e-08   2.7430e-07   9.2719e-08   1.0611e+08   1.0611e+08
  2.2387e+02   2.2546e+02   5.4160e+00   8.1821e-07   6.0085e-07  -7.9041e-08   2.5222e-08   2.8493e-07   1.2220e-07   1.4063e+08   1.4063e+08
  2.8184e+02   2.8347e+02   5.6449e+00   6.9781e-07   5.5445e-07  -2.1094e-07   6.7427e-08   3.3652e-07   1.4997e-07   1.7312e+08   1.7312e+08
  3.5481e+02   3.5648e+02   5.8741e+00   6.3690e-07   3.8925e-07  -1.0245e-07   2.4564e-07   2.4563e-07   1.7466e-07   1.9774e+08   1.9774e+08
  4.4668e+02   4.4926e+02   6.1054e+00   3.1005e-07   1.5509e-07   1.9430e-07   3.1547e-07   1.5185e-07   2.3459e-07   2.2542e+08   2.2542e+08
  5.6234e+02   5.6598e+02   6.3363e+00   5.6480e-08   2.6895e-07   1.1315e-07   2.9616e-08   2.2671e-07   1.8878e-07   2.6450e+08   2.6450e+08
  7.0795e+02   7.1266e+02   6.5668e+00  -1.2589e-07   7.5840e-07   4.5697e-08  -1.8460e-07   2.5906e-07   1.8580e-07   3.0688e+08   3.0688e+08
  8.9125e+02   8.9860e+02   6.7986e+00  -5.3433e-07   8.8061e-07   3.3817e-08  -2.3072e-07   3.0091e-07   2.8187e-07   3.5592e+08   3.5592e+08
