# Columns: s_perp_min(1) s_perp_max(2) pi_min(3) pi_max(4) xi(5)
1 6 0 1 9.289197695
6 11 0 1 2.281123941
11 16 0 1 0.9316115424
16 21 0 1 0.5495138322
21 26 0 1 0.2752789381
26 31 0 1 0.1875265277
31 36 0 1 0.1342618975
36 41 0 1 0.08924564487
41 46 0 1 0.06880974395
46 51 0 1 0.07085107299
51 56 0 1 0.05234925477
56 61 0 1 0.05795476483
61 66 0 1 0.02530036211
66 71 0 1 0.01535237222
71 76 0 1 0.002973156402
76 81 0 1 0.003934303148
81 86 0 1 0.03004517213
86 91 0 1 0.008532235612
91 96 0 1 0.007374148906
96 101 0 1 0.005125380472
1 6 1 2 5.055632229
6 11 1 2 2.100411404
11 16 1 2 0.9207245863
16 21 1 2 0.4821984264
21 26 1 2 0.2759501215
26 31 1 2 0.1663074451
31 36 1 2 0.1224376407
36 41 1 2 0.07271864551
41 46 1 2 0.06537334814
46 51 1 2 0.04373277957
51 56 1 2 0.02282046481
56 61 1 2 0.05218855902
61 66 1 2 0.03097947678
66 71 1 2 0.03819521017
71 76 1 2 -0.005747246639
76 81 1 2 0.01206273423
81 86 1 2 0.007811263438
86 91 1 2 -0.002906494255
91 96 1 2 0.01619603386
96 101 1 2 0.01263693535
1 6 2 3 4.510753354
6 11 2 3 1.933700399
11 16 2 3 0.9162901432
16 21 2 3 0.4341824288
21 26 2 3 0.2682010042
26 31 2 3 0.1799923069
31 36 2 3 0.1498848975
36 41 2 3 0.09900355773
41 46 2 3 0.05624258902
46 51 2 3 0.05178918181
51 56 2 3 0.05380324784
56 61 2 3 0.03432618926
61 66 2 3 0.01511069812
66 71 2 3 0.03000004769
71 76 2 3 0.009420792207
76 81 2 3 0.01171111109
81 86 2 3 0.00679380131
86 91 2 3 0.03031604908
91 96 2 3 0.01048730431
96 101 2 3 -0.01024710394
1 6 3 4 4.057848395
6 11 3 4 1.820212082
11 16 3 4 0.8473040167
16 21 3 4 0.4565240128
21 26 3 4 0.2631061122
26 31 3 4 0.1723323061
31 36 3 4 0.1370333749
36 41 3 4 0.07963670778
41 46 3 4 0.03580551085
46 51 3 4 0.04503362984
51 56 3 4 0.06103301057
56 61 3 4 0.02742022331
61 66 3 4 0.04608614761
66 71 3 4 0.01054831146
71 76 3 4 -0.0006749764137
76 81 3 4 0.01557439912
81 86 3 4 0.01189399122
86 91 3 4 0.02931556527
91 96 3 4 0.01607718187
96 101 3 4 -0.005039238127
1 6 4 5 3.664245103
6 11 4 5 1.713766704
11 16 4 5 0.7465863963
16 21 4 5 0.4594693041
21 26 4 5 0.24545704
26 31 4 5 0.1497422217
31 36 4 5 0.150783755
36 41 4 5 0.09570746884
41 46 4 5 0.04348589668
46 51 4 5 0.03951979858
51 56 4 5 0.04489167746
56 61 4 5 0.04699223327
61 66 4 5 0.03292708569
66 71 4 5 0.005084869802
71 76 4 5 0.02004329658
76 81 4 5 0.01779830133
81 86 4 5 0.0177926957
86 91 4 5 0.01741507364
91 96 4 5 0.00844765077
96 101 4 5 -0.001250706812
1 6 5 6 2.802066463
6 11 5 6 1.432934783
11 16 5 6 0.7518971066
16 21 5 6 0.4252302937
21 26 5 6 0.2619467954
26 31 5 6 0.1547482649
31 36 5 6 0.112988936
36 41 5 6 0.06161063975
41 46 5 6 0.03357226561
46 51 5 6 0.07442841123
51 56 5 6 0.04635907138
56 61 5 6 0.03139100054
61 66 5 6 0.02462293293
66 71 5 6 0.01326433274
71 76 5 6 0.0178973361
76 81 5 6 0.03015990972
