# Columns: s_perp_cen(1) s_perp_min(2) s_perp_max(3) wp(4)
3.5 1 6 94.91677049
8.5 6 11 48.80329299
13.5 11 16 27.96828006
18.5 16 21 17.53936414
23.5 21 26 11.8250564
28.5 26 31 8.588047593
33.5 31 36 6.320991106
38.5 36 41 5.045015036
43.5 41 46 3.574448038
48.5 46 51 3.023442457
53.5 51 56 2.160176197
58.5 56 61 1.987370304
63.5 61 66 2.142071005
68.5 66 71 1.423659579
73.5 71 76 0.9722099427
78.5 76 81 0.8410555979
83.5 81 86 0.8323946597
88.5 86 91 0.6251016617
93.5 91 96 0.7232915155
98.5 96 101 0.7459541596
