# Columns: s_perp_cen(1) s_perp_min(2) s_perp_max(3) wp(4)
3.5 1 6 97.21006248
8.5 6 11 50.72928656
13.5 11 16 28.75506713
18.5 16 21 19.24726271
23.5 21 26 12.81253737
28.5 26 31 8.558175035
33.5 31 36 6.243174341
38.5 36 41 4.855220016
43.5 41 46 3.631248808
48.5 46 51 2.474231281
53.5 51 56 2.235600012
58.5 56 61 1.392935197
63.5 61 66 1.352090038
68.5 66 71 1.009325603
73.5 71 76 0.7281459455
78.5 76 81 0.8997002999
83.5 81 86 0.9206964281
88.5 86 91 0.7209863329
93.5 91 96 0.3719608984
98.5 96 101 0.352426374
